District,State_UT,NFHS_Households_Surveyed,Female_6plus_Ever_Attended_School_pct,Population_Below_15_pct,Sex_Ratio_Females_per_1000_Males,Households_Electricity_pct,Improved_Drinking_Water_pct,Improved_Sanitation_pct,Clean_Cooking_Fuel_pct,Health_Insurance_Coverage_pct,Women_15_49_Literate_pct,ANC_4plus_pct,Institutional_Births_pct,Skilled_Birth_Attendance_pct,Fully_Vaccinated_12_23m_pct,Diarrhoea_Taken_to_Health_Facility_pct,ARI_Taken_to_Health_Facility_pct,Under5_Stunted_pct,Children_6_59m_Anaemic_pct,Population_2011,Rural_Population_2011,Sub_Centres,PHCs,CHCs,Sub_Divisional_Hospitals,District_Hospitals,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural,PHC_coverage_vs_general_norm,CHC_coverage_vs_general_norm,District_Match_Score,District_Match_Method
Koriya,Chhattisgarh,906,69.65,26.85,987.34,97.55,87.62,73.34,30.16,62.75,77.08,70.02,80.75,88.18,87.05,,,32.12,56.33,658917,453618,196,31,5,0,1,6.833943979295355,1.1022490289186055,43.20816193360934,2.050183193788606,1.3226988347023267,90.9090909090909,Fuzzy
Jashpur,Chhattisgarh,908,67.91,27.81,1037.7,98.22,88.83,72.81,14.76,80.58,75.08,48.57,85.62,78.56,94.19,,,35.82,54.14,851669,775677,259,35,8,0,1,4.512187418216604,1.031357124163795,33.39018689480286,1.353656225464981,1.2376285489965542,100.0,Exact
Raigarh,Chhattisgarh,889,72.17,24.1,1012.97,99.02,97.53,66.3,29.75,66.28,75.96,55.41,87.73,85.78,90.87,,,39.09,62.68,1493984,1247682,350,55,10,2,1,4.408174518827714,0.8014862761504935,28.05201966526727,1.3224523556483143,0.9617835313805922,100.0,Exact
Korba,Chhattisgarh,876,71.07,25.4,1034.28,97.93,82.21,73.33,35.49,60.56,77.59,49.34,75.4,78.17,,,,34.66,63.55,1206640,760350,285,39,6,0,1,5.129216808048925,0.789110278161373,37.48273821266522,1.5387650424146777,0.9469323337936476,100.0,Exact
Janjgir - Champa,Chhattisgarh,920,67.73,25.32,998.69,99.53,97.24,78.77,24.78,73.97,77.02,62.82,86.24,91.56,85.52,,,32.45,74.05,1619707,1394646,273,47,11,1,1,3.3700308178562874,0.7887306169450885,19.574859856909924,1.0110092453568862,0.9464767403341064,100.0,Exact
Rajnandgaon,Chhattisgarh,919,73.35,23.95,1014.34,99.3,98.81,79.16,27.44,80.82,82.41,76.07,95.49,96.77,90.98,,,27.6,80.51,1537133,1264621,332,51,10,1,1,4.032828807998602,0.7907507466663924,26.252924789324236,1.209848642399581,0.9489008959996712,100.0,Exact
Mahasamund,Chhattisgarh,916,68.59,23.99,1057.22,98.4,98.83,84.23,30.38,76.17,72.62,65.79,92.89,96.28,82.08,,,36.82,75.83,1032754,912602,227,31,5,0,1,3.3968805678707694,0.5478839625598015,24.873931900214988,1.0190641703612309,0.6574607550717618,100.0,Exact
Dhamtari,Chhattisgarh,917,77.34,23.57,1056.69,99.9,99.11,89.82,30.89,86.83,83.69,70.4,94.25,96.55,,,,30.45,67.31,799781,650586,182,26,4,1,1,3.9963970943118974,0.6148303222018303,27.97477966018328,1.1989191282935692,0.7377963866421965,100.0,Exact
Narayanpur,Chhattisgarh,916,54.03,28.84,1077.03,90.05,90.52,52.79,19.52,83.09,53.84,59.1,74.16,82.46,81.67,,,43.73,86.82,139820,117714,63,8,1,0,1,6.796133000322817,0.8495166250403521,53.51954737754218,2.038839900096845,1.0194199500484225,100.0,Exact
Bijapur,Chhattisgarh,915,47.44,30.48,1068.72,86.82,94.34,30.63,18.48,73.53,46.29,56.85,63.62,73.8,78.35,,,53.83,77.2,255230,225630,77,10,5,0,1,4.432034747152418,2.216017373576209,34.12666755307362,1.3296104241457254,2.659220848291451,100.0,Exact
Bastar,Chhattisgarh,905,58.04,26.52,1068.01,96.8,94.09,60.99,31.56,69.28,54.62,55.07,63.54,72.63,57.33,63.9,52.84,48.09,80.71,1413199,1219705,243,40,7,1,1,3.2794815139726405,0.5739092649452121,19.92285019738379,0.9838444541917925,0.6886911179342546,100.0,Exact
Bilaspur,Chhattisgarh,881,70.97,24.78,1033.14,98.61,93.62,80.47,42.19,60.37,74.32,46.87,79.44,85.64,52.5,,,25.73,78.14,2663629,1983759,228,44,5,0,1,2.2180113612591046,0.2520467455976255,11.493331599251723,0.6654034083777314,0.3024560947171506,100.0,Exact
Durg,Chhattisgarh,910,79.41,22.87,956.54,99.57,98.46,89.47,76.31,67.01,84.59,69.85,96.71,97.99,82.67,,,38.87,57.06,3343872,2059107,221,30,8,1,1,1.456942257007528,0.3885179352020075,10.732807959955457,0.4370826771022584,0.466221522242409,100.0,Exact
Raipur,Chhattisgarh,915,77.09,24.19,982.79,99.48,99.73,83.95,60.47,76.92,81.31,65.6,90.71,95.8,74.15,,,32.22,74.63,4063872,2580583,275,35,10,1,1,1.3562826694588006,0.3875093341310859,10.656506688604862,0.4068848008376401,0.465011200957303,100.0,Exact
Surguja,Chhattisgarh,872,66.33,27.47,1035.96,99.26,96.39,75.76,24.47,65.14,73.68,57.71,85.34,89.42,84.55,,,29.41,51.35,2359886,2116965,204,28,6,0,0,1.322648225171413,0.2834246196795885,9.636437069106009,0.3967944675514238,0.3401095436155061,100.0,Exact
North Goa,Goa,925,89.53,19.28,1016.91,100.0,98.1,87.74,96.69,64.83,92.37,91.29,99.57,98.6,,,,24.17,55.19,818008,324927,114,13,4,0,1,4.0008986633920856,1.23104574258218,35.08480366359213,1.2002695990176255,1.477254891098616,100.0,Exact
South Goa,Goa,931,88.2,18.85,1040.35,100.0,99.02,88.17,96.24,67.7,93.76,96.04,100.0,100.0,,,,28.31,50.01,640537,226804,105,15,2,2,1,6.613639971076347,0.8818186628101796,46.29547979753443,1.9840919913229045,1.0581823953722158,100.0,Exact
Kachchh,Gujarat,922,66.56,26.57,979.27,99.16,96.83,85.82,67.16,34.34,75.57,84.15,97.36,97.61,70.19,,,37.48,68.61,2092371,1363836,442,77,16,3,0,5.645840115673732,1.173161582477659,32.40858871594532,1.6937520347021198,1.4077938989731904,100.0,Exact
Banas Kantha,Gujarat,889,61.1,29.23,1007.3,91.14,93.58,53.86,45.63,40.96,63.71,56.05,92.94,92.66,43.53,,,38.98,78.99,3120506,2705591,759,125,26,4,1,4.62006267761831,0.9609730369446084,28.053020578498376,1.3860188032854928,1.15316764433353,100.0,Exact
Patan,Gujarat,904,64.81,25.08,967.42,98.29,99.39,73.11,62.62,50.17,71.08,79.81,98.55,97.07,80.99,,,50.51,76.17,1343734,1062653,326,55,14,2,0,5.175725283794428,1.3174573449658544,30.67793531849061,1.552717585138328,1.580948813959025,100.0,Exact
Mahesana,Gujarat,839,71.28,22.13,912.81,97.68,97.01,72.14,63.14,40.74,75.05,56.58,97.25,91.55,,,,31.03,85.98,2035064,1520734,295,63,13,3,1,4.142736336532227,0.8548503551574438,19.398527290111225,1.2428209009596682,1.0258204261889323,100.0,Exact
Gandhinagar,Gujarat,862,77.63,22.34,924.44,97.81,99.72,84.6,76.86,29.74,81.78,71.02,97.81,89.26,,,,38.07,81.24,1391753,791126,156,36,9,1,0,4.550476156768959,1.1376190391922398,19.718730012665493,1.365142847030688,1.365142847030688,100.0,Exact
Porbandar,Gujarat,917,74.87,20.75,1000.37,99.75,96.24,85.74,76.85,42.13,84.33,92.05,100.0,95.99,,,,18.15,77.86,585449,299775,84,17,4,5,1,5.6709198565590855,1.3343340838962556,28.021015761821364,1.7012759569677258,1.6012009006755066,100.0,Exact
Amreli,Gujarat,870,69.88,22.71,983.84,99.64,97.79,73.28,65.61,47.74,77.17,92.59,90.13,81.16,,,,35.3,71.99,1514190,1127555,248,44,12,3,0,3.902248670796547,1.0642496374899673,21.99449250812599,1.170674601238964,1.2770995649879606,100.0,Exact
Dohad,Gujarat,899,59.58,35.58,1047.47,89.29,90.99,35.93,26.8,40.26,56.1,70.9,92.45,93.19,66.18,81.16,85.29,55.34,87.24,2127086,1935461,637,99,20,2,0,5.115060442964235,1.033345544033179,32.91205557745674,1.5345181328892703,1.2400146528398144,100.0,Exact
Narmada,Gujarat,904,66.0,25.98,1006.44,92.69,96.83,54.56,31.28,51.07,67.29,83.42,81.65,84.23,82.84,,,47.18,93.21,590297,528425,174,28,3,2,1,5.298765198467143,0.5677248426929081,32.928040876188675,1.5896295595401428,0.6812698112314899,100.0,Exact
Bharuch,Gujarat,856,76.66,23.69,960.26,98.15,97.23,77.69,60.16,37.36,74.01,65.68,91.14,92.06,,,,40.87,81.04,1551019,1026060,241,46,9,1,0,4.483168625616435,0.8771416876206071,23.487905190729585,1.3449505876849308,1.0525700251447283,100.0,Exact
Navsari,Gujarat,893,77.86,19.55,1056.28,98.65,97.4,80.12,70.17,41.96,84.05,94.69,99.26,99.05,94.99,,,36.83,75.26,1329672,920535,296,50,11,3,1,5.431624001260136,1.19495728027723,32.15521408746001,1.629487200378041,1.4339487363326762,100.0,Exact
Valsad,Gujarat,882,79.02,25.24,1009.32,98.63,98.0,85.31,73.11,40.58,82.93,92.48,96.52,98.5,91.07,,,37.76,87.64,1705678,1070177,363,58,10,2,0,5.419664223768591,0.9344248661669986,33.91962264186205,1.6258992671305774,1.1213098394003982,100.0,Exact
Surat,Gujarat,902,82.71,23.11,911.62,99.34,98.87,81.95,88.56,31.55,84.18,93.4,97.69,98.82,,,,36.05,83.59,6081322,1232109,343,105,20,2,0,8.521973299440228,1.6232330094171863,27.838446111504748,2.5565919898320684,1.9478796113006236,100.0,Exact
Tapi,Gujarat,904,66.05,21.03,1075.85,97.56,99.02,70.21,45.5,42.32,72.02,90.96,92.93,85.16,,,,41.68,80.74,807022,727535,241,39,6,2,1,5.360566845581312,0.8247025916278942,33.12555409705375,1.6081700536743937,0.989643109953473,100.0,Exact
Ahmadabad,Gujarat,906,79.83,22.05,928.43,99.49,98.73,86.38,89.72,36.23,81.47,77.76,94.45,95.29,,,,35.45,72.01,7214225,1151178,211,122,17,3,0,10.597839778036064,1.4767481657919104,18.329050763652532,3.17935193341082,1.7720977989502926,100.0,Exact
Bhavnagar,Gujarat,871,72.03,24.13,941.9,96.92,95.09,72.87,59.81,32.17,74.24,70.9,94.18,95.97,74.27,,,32.63,71.54,2880365,1697964,299,65,13,2,0,3.8281141414070015,0.7656228282814006,17.609325050472215,1.1484342424221008,0.9187473939376808,100.0,Exact
Jamnagar,Gujarat,920,72.79,20.95,1003.88,98.92,99.74,86.6,81.56,38.6,83.14,73.78,96.49,96.22,,,,28.35,74.99,2160119,1189054,210,45,9,0,1,3.78452114033509,0.756904228067018,17.661098654897085,1.1353563421005268,0.9082850736804216,100.0,Exact
Junagadh,Gujarat,886,73.75,21.58,999.37,99.26,97.04,81.68,67.18,47.25,82.79,72.54,97.42,97.74,93.47,,,37.28,74.72,2743082,1836670,237,46,9,1,0,2.5045326596503457,0.4900172594968067,12.90378783341591,0.7513597978951037,0.5880207113961681,100.0,Exact
Kheda,Gujarat,890,73.95,23.65,934.29,96.9,97.69,63.34,47.95,32.2,70.92,61.2,95.18,88.41,68.99,,,37.26,85.08,2299885,1776276,316,58,14,2,1,3.265258326971709,0.7881658030621367,17.79002812625966,0.9795774980915128,0.945798963674564,100.0,Exact
Panch Mahals,Gujarat,908,70.12,26.3,969.16,95.52,90.95,58.93,43.62,33.95,71.67,88.73,88.41,84.2,95.44,65.8,76.11,47.12,90.95,2390776,2055949,300,54,12,1,1,2.626524296079329,0.5836720657954064,14.59180164488516,0.7879572888237987,0.7004064789544877,100.0,Exact
Rajkot,Gujarat,882,78.37,21.96,974.72,99.59,99.5,85.44,83.59,45.13,84.68,93.52,99.28,100.0,,,,38.94,76.99,3804558,1590508,347,82,12,0,1,5.15558551104427,0.7544759284455029,21.81692893088246,1.546675653313281,0.9053711141346036,100.0,Exact
Sabar Kantha,Gujarat,892,68.68,26.55,986.84,95.34,90.72,60.97,58.71,49.32,74.52,73.24,89.43,83.03,88.47,,75.9,37.01,81.12,2428589,2064869,281,49,12,2,0,2.3730318969387403,0.5811506686380589,13.60861149060788,0.7119095690816221,0.6973808023656706,100.0,Exact
Surendranagar,Gujarat,869,66.04,23.65,957.42,99.43,96.88,63.75,56.92,50.44,75.07,57.45,85.58,83.59,62.52,,,39.16,81.01,1756268,1259352,349,56,12,2,1,4.446731334845222,0.9528710003239762,27.712664926088973,1.3340194004535666,1.1434452003887714,100.0,Exact
Vadodara,Gujarat,855,82.02,20.99,953.34,97.28,99.49,85.62,78.1,41.66,84.57,65.92,95.92,95.19,,,,42.26,86.43,4165626,2099855,242,77,10,0,0,3.666919858752152,0.4762233582795002,11.524605270363908,1.1000759576256456,0.5714680299354004,100.0,Exact
Panchkula,Haryana,679,81.23,23.09,936.23,99.46,99.2,82.62,81.13,19.9,87.86,76.91,96.99,96.99,,,,21.76,53.06,561293,248063,46,9,2,0,1,3.628110600936053,0.8062468002080116,18.543676404784268,1.0884331802808158,0.967496160249614,100.0,Exact
Ambala,Haryana,902,82.24,21.56,929.88,99.61,99.29,87.22,81.59,18.99,88.85,57.39,97.83,90.95,79.33,,77.62,24.11,64.18,1128350,627576,106,22,5,2,1,3.505551518859867,0.7967162542863334,16.89038459087027,1.05166545565796,0.9560595051436002,100.0,Exact
Yamunanagar,Haryana,916,79.05,23.59,922.91,99.76,100.0,83.54,77.71,20.62,87.05,66.42,94.79,85.95,82.88,,66.77,27.73,72.86,1214205,741376,113,20,7,1,1,2.697686464088397,0.9441902624309392,15.241928522099446,0.8093059392265194,1.1330283149171272,100.0,Exact
Kurukshetra,Haryana,888,75.32,24.69,941.08,99.59,99.93,82.63,77.58,19.19,83.92,59.75,98.36,97.57,69.77,,71.93,24.92,73.66,964655,685430,117,17,7,0,1,2.480194914141488,1.021256729352377,17.069576762032593,0.7440584742424464,1.2255080752228529,100.0,Exact
Kaithal,Haryana,737,66.34,24.4,928.91,99.99,98.45,89.72,55.91,29.08,73.95,68.77,98.21,99.66,,,,29.89,61.43,1074304,838293,144,24,6,0,1,2.8629608024879127,0.7157402006219782,17.177764814927478,0.8588882407463738,0.8588882407463738,100.0,Exact
Karnal,Haryana,918,79.15,26.42,969.94,99.24,99.89,83.5,74.08,24.59,84.46,84.71,98.96,98.64,88.85,,80.72,29.16,78.33,1505324,1050514,146,25,8,1,1,2.3797874183494936,0.7615319738718379,13.897958523161044,0.7139362255048481,0.9138383686462056,100.0,Exact
Panipat,Haryana,852,78.31,25.98,916.78,99.6,99.85,79.32,72.95,26.48,85.89,49.2,97.1,96.28,80.62,,73.77,25.13,73.41,1205437,650352,89,18,7,1,1,2.767731935936232,1.0763401973085345,13.684896794351364,0.8303195807808694,1.2916082367702413,100.0,Exact
Sonipat,Haryana,872,78.87,23.51,843.82,99.33,97.17,86.65,69.93,22.36,89.13,64.07,99.7,90.19,,,,23.6,68.65,1450001,996637,164,33,7,1,1,3.311135348175916,0.702362043552467,16.45533930608637,0.9933406044527748,0.8428344522629604,100.0,Exact
Jind,Haryana,861,71.41,25.84,976.78,99.98,96.17,88.52,42.11,23.68,83.56,49.63,98.68,98.95,77.54,,,25.48,68.87,1334152,1028569,173,27,7,3,1,2.6250061979313006,0.6805571624266336,16.81948415711537,0.7875018593793901,0.8166685949119601,100.0,Exact
Fatehabad,Haryana,753,67.25,24.09,908.38,99.77,99.76,87.3,43.74,29.43,73.2,60.08,97.94,97.94,90.73,,,24.62,59.3,942011,762423,131,23,7,1,1,3.016698079674931,0.9181255025097615,17.182062975539825,0.9050094239024792,1.101750603011714,100.0,Exact
Hisar,Haryana,832,69.29,25.77,939.23,99.74,99.33,89.11,44.8,27.88,79.76,69.91,98.23,98.83,85.53,,,27.79,70.5,1743931,1190443,198,32,9,3,1,2.6880749435294256,0.7560210778676509,16.63246371308832,0.8064224830588277,0.9072252934411812,100.0,Exact
Rohtak,Haryana,826,79.58,23.7,941.99,99.65,98.45,90.01,67.27,24.78,88.53,72.28,97.39,96.72,77.42,,,28.86,76.18,1061204,615040,116,21,8,0,1,3.4144120707596253,1.3007284079084287,18.860561914672218,1.0243236212278874,1.5608740894901143,100.0,Exact
Jhajjar,Haryana,800,77.26,22.95,981.67,99.84,96.6,91.68,55.9,26.99,89.14,60.13,97.2,97.19,90.86,,,15.59,76.86,958405,715066,134,29,6,2,1,4.055569695664457,0.8390833853098875,18.739528938587487,1.2166709086993368,1.006900062371865,100.0,Exact
Mahendragarh,Haryana,890,69.96,22.27,935.56,99.6,99.71,79.78,34.16,25.61,82.73,55.2,98.91,98.85,73.86,,,25.15,72.32,922088,789233,140,19,7,1,1,2.407400602863793,0.8869370642129765,17.73874128425953,0.722220180859138,1.0643244770555718,100.0,Exact
Rewari,Haryana,883,74.55,22.64,884.53,100.0,99.73,86.4,54.92,25.33,87.41,63.78,98.71,98.34,79.33,,,25.93,71.33,900332,666902,114,19,5,1,1,2.8489943050103315,0.7497353434237713,17.093965830061986,0.8546982915030994,0.8996824121085257,100.0,Exact
Faridabad,Haryana,857,80.49,24.96,889.86,100.0,97.85,84.16,89.26,32.8,84.39,51.23,92.49,93.93,69.49,,,28.86,68.44,1809733,370878,61,26,2,1,1,7.010391557331522,0.5392608890255016,16.4474571152778,2.103117467199456,0.647113066830602,100.0,Exact
Palwal,Haryana,897,66.99,31.29,942.91,98.86,96.69,80.3,34.62,23.51,71.14,53.41,78.34,83.24,69.03,,,30.95,71.57,1042708,806164,95,18,7,0,1,2.232796304474028,0.8683096739621218,11.784202718057369,0.6698388913422083,1.041971608754546,100.0,Exact
Bhiwani,Haryana,855,70.2,24.81,984.94,99.97,97.51,89.67,36.55,28.24,80.03,60.36,97.7,97.82,72.51,,,29.0,69.21,1634445,1313123,139,26,6,3,1,1.9800125350024331,0.456925969615946,10.585451629436085,0.5940037605007299,0.5483111635391353,100.0,Exact
Kangra,Himachal Pradesh,887,84.08,21.09,1050.7,99.66,98.57,73.33,49.14,36.36,94.43,56.28,90.17,87.54,,,,28.0,55.25,1510075,1423794,439,81,20,21,1,5.689025238201594,1.4046975896794058,30.83311209346296,1.706707571460478,1.685637107615287,100.0,Exact
Kullu,Himachal Pradesh,883,77.36,21.78,1008.03,99.17,94.26,81.15,64.97,26.77,87.36,59.99,86.95,88.14,80.18,,,35.94,75.27,437903,396512,99,23,5,4,1,5.800581066903398,1.2609958841094342,24.9677185053668,1.7401743200710194,1.5131950609313212,100.0,Exact
Mandi,Himachal Pradesh,902,79.24,22.32,1159.46,99.5,96.46,86.98,38.59,41.33,93.96,70.25,86.58,86.37,,,,31.34,52.23,999777,937140,339,82,12,13,1,8.7500266769106,1.2804917088161851,36.17389077405724,2.62500800307318,1.5365900505794226,100.0,Exact
Hamirpur,Himachal Pradesh,881,86.66,20.32,1181.58,99.66,98.0,85.48,44.73,32.03,94.84,59.43,97.6,92.38,,,,27.27,51.98,454768,423338,153,32,2,5,0,7.558971790862148,0.4724357369288842,36.14133387505965,2.2676915372586444,0.5669228843146611,100.0,Exact
Una,Himachal Pradesh,860,86.1,21.8,1026.03,98.5,98.77,81.38,46.2,22.56,92.52,71.66,89.65,89.9,,,,24.69,58.73,521173,476260,138,24,8,5,1,5.039264267416957,1.6797547558056525,28.9757695376475,1.5117792802250871,2.015705706966783,100.0,Exact
Bilaspur,Himachal Pradesh,898,81.25,22.11,1095.52,99.97,92.85,80.82,35.78,35.41,91.23,81.35,91.7,87.62,,,,40.06,44.82,381956,356827,124,37,8,3,1,10.369170494385234,2.2419828095968075,34.75073354875052,3.11075114831557,2.690379371516169,100.0,Exact
Solan,Himachal Pradesh,883,82.42,22.27,946.67,99.21,96.47,81.76,62.46,41.86,90.98,88.17,90.22,86.84,,,,32.32,50.41,580320,478173,182,43,7,7,1,8.992561269666,1.4639053229688836,38.06153839719098,2.6977683808998,1.7566863875626604,100.0,Exact
Sirmaur,Himachal Pradesh,906,75.65,25.51,922.93,99.24,95.69,84.27,46.8,26.19,84.93,85.23,87.41,88.19,93.92,,,28.62,58.47,529855,472690,148,46,6,5,0,9.73153652499524,1.2693308510863357,31.310160993462947,2.919460957498572,1.5231970213036028,100.0,Exact
Shimla,Himachal Pradesh,904,81.63,18.97,955.96,100.0,97.29,87.25,78.02,37.07,93.36,85.31,92.23,91.33,,,,27.07,59.05,814010,612659,245,114,17,13,1,18.607414565035363,2.7747898912772038,39.98961902134793,5.582224369510609,3.329747869532644,100.0,Exact
Kinnaur,Himachal Pradesh,912,73.8,19.11,967.22,99.58,96.94,80.06,70.38,35.91,89.11,75.32,82.72,84.12,,,,32.16,75.57,84121,84121,35,25,4,1,1,29.719095112992,4.75505521807872,41.6067331581888,8.9157285338976,5.706066261694464,100.0,Exact
Kupwara,Jammu & Kashmir,904,68.7,26.67,987.28,99.29,88.0,67.68,61.99,10.36,76.01,89.24,97.06,99.04,93.19,,,24.89,78.79,870354,765625,233,63,7,0,1,8.22857142857143,0.9142857142857144,30.43265306122449,2.468571428571429,1.0971428571428572,100.0,Exact
Rajouri,Jammu & Kashmir,917,72.56,26.35,901.39,99.95,77.71,63.32,42.76,16.41,79.41,71.86,88.81,94.42,94.99,,,30.27,76.37,642415,590101,197,55,7,0,0,9.320438365635711,1.186237610171818,33.384115600549734,2.796131509690714,1.4234851322061817,100.0,Exact
Kathua,Jammu & Kashmir,903,77.43,19.75,893.61,99.65,96.13,75.38,68.49,6.96,87.65,31.61,97.08,98.52,,,,21.8,67.02,616435,526722,185,53,5,0,0,10.062233967823634,0.9492673554550598,35.12289215183721,3.01867019034709,1.1391208265460715,100.0,Exact
Baramula,Jammu & Kashmir,908,62.91,24.81,954.89,98.71,93.33,77.73,76.48,6.53,67.89,75.19,96.24,96.95,73.7,,70.25,23.15,70.39,1008039,825539,188,86,7,0,0,10.417436365816757,0.8479308669850848,22.773000427599424,3.125230909745027,1.017517040382102,94.11764705882352,Fuzzy
Srinagar,Jammu & Kashmir,889,68.21,20.16,971.55,100.0,98.45,86.78,98.44,17.87,78.42,85.12,99.21,99.21,,,,32.96,76.97,1236829,17313,25,69,1,0,1,398.5444463697799,5.776006469127245,144.40016172818113,119.563333910934,6.931207762952695,100.0,Exact
Ganderbal,Jammu & Kashmir,900,60.2,25.11,930.53,99.52,97.15,78.44,84.44,8.3,63.99,80.38,97.97,98.61,81.17,,,18.49,89.76,297446,250407,60,30,1,0,1,11.980495752914257,0.3993498584304752,23.960991505828517,3.594148725874277,0.4792198301165702,100.0,Exact
Pulwama,Jammu & Kashmir,906,67.19,22.06,952.92,99.11,97.95,91.61,76.62,9.88,76.59,96.16,97.79,98.09,,,,22.38,67.41,560440,479978,97,47,3,0,1,9.792115471959132,0.6250286471463276,20.20925959106459,2.9376346415877395,0.750034376575593,100.0,Exact
Anantnag,Jammu & Kashmir,906,65.48,22.41,973.77,98.71,99.27,84.68,76.46,7.27,74.66,80.91,90.47,98.08,,,,28.16,79.15,1078692,795805,139,65,5,0,0,8.167830058871205,0.6282946199131697,17.466590433586116,2.450349017661362,0.7539535438958036,100.0,Exact
Kulgam,Jammu & Kashmir,912,63.96,25.44,961.99,99.84,96.43,80.5,40.31,4.23,70.88,92.19,98.87,99.63,98.08,,,28.38,77.68,424483,343870,118,45,3,0,1,13.086340768313608,0.8724227178875738,34.31529357024457,3.925902230494082,1.0469072614650885,100.0,Exact
Doda,Jammu & Kashmir,877,65.12,28.36,943.15,99.62,92.63,70.9,42.36,7.6,69.24,74.32,73.54,75.57,61.65,,,32.68,80.66,409936,377247,163,42,3,0,0,11.133289330332646,0.7952349521666177,43.20776573438622,3.339986799099794,0.9542819425999411,100.0,Exact
Ramban,Jammu & Kashmir,911,60.78,29.53,915.02,97.43,73.42,48.92,35.81,9.17,62.21,79.23,80.44,91.72,78.88,,,25.7,62.0,283713,271902,85,31,3,0,1,11.40116659678855,1.1033387029150208,31.261263249258928,3.420349979036565,1.324006443498025,100.0,Exact
Kishtwar,Jammu & Kashmir,895,68.91,24.82,978.02,88.82,86.84,59.62,50.6,16.37,71.28,76.4,91.59,94.11,,,,27.49,88.46,230696,215831,87,26,1,0,1,12.046462278356678,0.4633254722444876,40.30931608527042,3.613938683507004,0.5559905666933851,100.0,Exact
Udhampur,Jammu & Kashmir,908,72.98,26.13,946.15,99.92,76.44,69.84,55.08,16.83,77.33,69.82,87.23,91.13,85.75,,,37.28,70.38,554985,446777,146,49,2,0,1,10.967440132325525,0.4476506176459396,32.6784950881536,3.2902320396976568,0.5371807411751276,100.0,Exact
Reasi,Jammu & Kashmir,915,66.85,30.69,966.72,99.91,76.54,62.71,35.2,11.24,68.19,75.92,69.32,73.3,79.05,,,17.74,69.73,314667,287671,103,33,2,0,1,11.471437857830647,0.6952386580503422,35.804790889592624,3.441431357349194,0.8342863896604107,100.0,Exact
Jammu,Jammu & Kashmir,889,83.97,22.18,938.68,100.0,99.92,81.24,87.89,23.25,91.54,95.43,96.48,96.96,,,,27.04,68.43,1529958,764945,162,101,9,0,1,13.203563654903292,1.1765551771696006,21.17799318905281,3.961069096470988,1.4118662126035206,100.0,Exact
Samba,Jammu & Kashmir,901,76.63,24.51,959.54,99.81,95.43,78.81,73.01,19.02,84.83,96.2,97.85,99.03,90.85,,,24.52,68.96,318898,265283,82,21,3,0,1,7.916074531726496,1.1308677902466424,30.910386266741558,2.3748223595179487,1.357041348295971,100.0,Exact
Garhwa,Jharkhand,913,60.52,33.33,1108.38,84.99,92.52,54.06,24.74,55.27,62.74,29.78,83.98,88.15,77.16,,,47.7,62.47,1322784,1253114,117,11,6,1,1,0.8778131917766461,0.4788071955145341,9.336740312533417,0.2633439575329938,0.5745686346174411,100.0,Exact
Chatra,Jharkhand,933,60.74,36.77,1135.6,92.13,83.34,48.05,20.43,46.51,61.81,32.36,71.52,73.49,71.65,,,42.16,62.63,1042886,979932,93,9,5,0,1,0.9184310748092724,0.5102394860051515,9.490454439695815,0.2755293224427817,0.6122873832061816,100.0,Exact
Giridih,Jharkhand,958,61.57,34.57,1090.99,96.54,87.63,59.24,32.38,52.41,57.32,42.1,70.74,76.74,70.61,,51.19,31.88,62.77,2445474,2237450,179,17,11,0,1,0.7597935149388813,0.4916310979016291,8.000178774944692,0.2279380544816644,0.5899573174819549,100.0,Exact
Deoghar,Jharkhand,953,59.8,36.04,1067.99,95.58,90.78,41.56,23.5,53.8,54.22,30.74,61.29,72.27,54.45,,55.98,41.65,73.91,1492073,1233712,180,10,7,1,1,0.8105619463861906,0.5673933624703335,14.590115034951433,0.2431685839158572,0.6808720349644001,100.0,Exact
Godda,Jharkhand,913,52.71,33.8,1011.55,93.49,91.35,54.88,19.67,45.91,50.44,39.22,70.22,83.26,63.93,,,39.37,75.09,1313551,1249132,181,10,7,0,1,0.8005559060211411,0.5603891342147987,14.490061898982654,0.2401667718063423,0.6724669610577585,100.0,Exact
Pakur,Jharkhand,905,53.11,36.3,1073.91,91.74,88.59,38.26,16.94,52.45,46.68,26.64,64.6,74.18,69.43,,,51.26,72.14,900422,832910,121,10,5,0,1,1.2006099098341958,0.6003049549170979,14.527379908993767,0.3601829729502587,0.7203659459005175,100.0,Exact
Dhanbad,Jharkhand,945,68.68,27.78,985.77,98.51,88.9,67.58,37.18,45.66,71.97,44.55,78.75,83.63,66.11,,,26.98,66.52,2684487,1124093,140,35,9,0,1,3.113621381860753,0.8006454981927651,12.454485527443014,0.934086414558226,0.9607745978313182,100.0,Exact
Bokaro,Jharkhand,955,71.48,27.29,1006.22,97.31,86.42,64.38,46.97,44.65,72.56,48.71,80.86,86.52,70.99,,62.08,36.2,66.51,2062330,1078686,115,25,9,3,1,2.3176346035825066,0.8343484572897024,10.66111917647953,0.695290381074752,1.0012181487476428,100.0,Exact
